ZIP,MedianIncome
06901,72218
06902,70553
06903,203861
06905,116567
06906,78371
06907,87227
07001,68426
07002,56701
07003,74961
07004,107417
07005,109888
07006,114096
07008,73892
07009,115926
07010,67799
07011,56285
07012,86472
07013,93005
07014,96339
07016,122848
07017,41322
07018,42335
07020,103505
07021,198750
07022,56057
07023,132292
07024,76623
07026,54037
07027,79063
07028,195714
07029,61084
07030,127523
07031,74481
07032,63222
07033,108281
07034,82626
07035,92075
07036,66166
07039,153381
07040,125036
07041,104786
07042,97920
07043,191449
07044,110745
07045,162798
07046,175556
07047,57269
07050,38506
07052,93954
07054,90355
07055,34958
07057,62648
07058,114229
07059,154429
07060,57959
07062,67664
07063,72440
07064,81912
07065,69932
07066,1e+05
07067,103205
07068,110208
07069,122434
07070,93787
07071,73218
07072,89419
07073,77400
07074,59700
07075,102283
07076,117765
07077,76389
07078,250001
07079,121637
07080,91250
07081,110547
07082,116615
07083,81359
07086,84841
07087,43407
07088,50299
07090,159923
07092,129405
07093,51509
07094,99883
07095,80196
07102,24353
07103,27859
07104,36547
07105,45227
07106,37421
07107,30779
07108,25192
07109,67782
07110,94128
07111,39734
07112,35765
07114,26326
07201,44655
07202,44867
07203,52480
07204,67300
07205,65717
07206,43429
07208,46572
07302,113898
07304,45870
07305,49453
07306,51197
07307,59744
07310,147357
07311,189750
07401,151875
07403,80872
07405,113281
07407,76907
07410,109747
07416,59477
07417,155458
07418,128438
07419,85225
07420,80614
07421,90412
07422,86250
07423,176518
07424,79302
07430,107215
07432,105313
07435,124500
07436,112944
07438,106035
07439,84167
07440,104236
07442,92952
07444,91060
07446,137331
07450,162201
07452,162443
07456,115399
07457,100602
07458,176455
07460,96176
07461,84676
07462,88223
07463,115591
07465,85545
07470,108092
07480,100963
07481,147463
07495,
07501,26691
07502,52292
07503,40368
07504,58125
07505,26198
07506,93675
07508,77128
07512,97729
07513,39665
07514,39951
07522,30902
07524,35397
07601,59277
07603,79356
07604,87800
07605,89744
07606,66094
07607,86100
07608,
07620,118068
07621,90962
07624,130815
07626,136250
07627,149271
07628,94617
07630,111536
07631,80489
07632,134904
07640,127188
07641,170417
07642,124844
07643,61341
07644,57188
07645,120060
07646,84025
07647,93925
07648,125417
07649,137583
07650,64538
07652,105114
07656,106875
07657,66690
07660,72191
07661,123590
07662,78333
07663,94177
07666,106411
07670,153906
07675,119748
07676,128203
07677,161250
07701,84520
07702,122321
07703,
07704,158264
07711,137625
07712,60869
07716,91012
07717,78323
07718,102542
07719,92414
07720,61209
07721,68350
07722,166706
07723,77778
07724,79868
07726,106678
07727,77128
07728,86037
07730,98194
07731,102961
07732,60817
07733,152294
07734,54092
07735,66782
07737,91042
07738,132222
07739,144250
07740,55038
07746,144588
07747,99825
07748,113676
07750,110380
07751,145118
07753,64774
07755,90192
07756,60000
07757,107571
07758,92879
07760,138917
07762,77500
07764,1e+05
07801,69028
07803,84904
07820,
07821,106515
07822,70156
07823,60938
07825,91903
07826,81569
07827,69688
07828,77375
07830,124659
07832,86944
07833,
07834,116273
07836,107128
07838,107757
07840,77931
07842,
07843,78694
07846,207969
07847,108836
07848,78472
07849,87212
07850,91164
07851,101250
07852,92792
07853,154135
07856,91563
07857,56016
07860,82716
07863,85720
07865,118654
07866,102712
07869,126290
07870,
07871,131813
07874,90613
07876,124854
07878,106481
07880,132054
07881,
07882,90304
07885,79222
07901,128097
07920,135365
07921,104328
07922,146674
07924,150246
07926,
07927,106458
07928,173929
07930,138328
07931,186571
07932,122843
07933,142542
07934,150250
07935,
07936,121769
07939,
07940,128116
07945,171571
07946,152750
07950,120095
07960,114844
07961,
07970,233750
07974,146776
07976,116019
07977,74063
07979,130913
07980,122716
07981,112534
08001,68750
08002,78812
08003,122591
08004,87885
08005,70564
08006,67750
08007,70152
08008,82047
08009,81354
08010,64085
08011,
08012,71865
08014,107838
08015,65531
08016,74626
08019,95809
08020,85519
08021,50262
08022,89770
08023,28785
08026,84625
08027,70255
08028,67875
08029,55435
08030,52136
08031,49713
08033,111939
08034,91362
08035,88667
08036,97051
08037,71798
08038,49583
08039,68676
08041,110500
08042,
08043,85164
08045,63494
08046,70929
08048,84347
08049,55250
08050,75981
08051,79032
08052,57460
08053,94395
08054,92826
08055,112267
08056,158359
